scorer,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
104,387.8887939453125,331.6158142089844,0.9990528225898743,372.813232421875,331.7405090332031,0.9975430965423584,359.32391357421875,328.6872863769531,0.9958471655845642,352.58978271484375,329.9516906738281,0.9983553290367126
105,390.2874755859375,332.19415283203125,0.9949380159378052,373.9493408203125,333.1267395019531,0.9938203692436218,363.7378234863281,331.0240783691406,0.990724503993988,353.67437744140625,329.98394775390625,0.9974563717842102
106,388.0473937988281,334.3489074707031,0.9959070682525635,374.3028564453125,332.7015075683594,0.9957606196403503,359.48992919921875,328.08160400390625,0.9922475814819336,354.4952697753906,328.43475341796875,0.9983627200126648
107,389.2839050292969,335.03424072265625,0.9973793029785156,374.13458251953125,332.4010009765625,0.9960139989852905,358.3958740234375,326.2287292480469,0.9980502128601074,352.415771484375,328.2535095214844,0.9979206919670105
108,390.0710754394531,336.012939453125,0.9977715015411377,373.96380615234375,332.4565124511719,0.9975534081459045,360.4109802246094,326.7740173339844,0.9970840811729431,352.0289306640625,327.6995544433594,0.9988251328468323
109,387.63995361328125,337.6112060546875,0.9986905455589294,375.3537292480469,333.4418029785156,0.9969890713691711,359.39947509765625,327.2076110839844,0.9947479367256165,352.2480163574219,328.5451354980469,0.9989117383956909
110,389.0885009765625,337.114013671875,0.9989903569221497,375.5621032714844,333.1809387207031,0.996117353439331,360.2162170410156,327.60162353515625,0.9920567870140076,354.271240234375,326.9097595214844,0.9989030361175537
111,390.1506652832031,336.2818908691406,0.9971997737884521,381.9316101074219,333.14813232421875,0.9957503080368042,367.6096496582031,328.4831237792969,0.9930627942085266,355.673828125,328.3929443359375,0.9982605576515198
112,391.5711364746094,335.0020751953125,0.994964599609375,382.2915954589844,333.8589172363281,0.9958422780036926,367.5065002441406,328.86724853515625,0.9912898540496826,357.73358154296875,328.55023193359375,0.9987094402313232
113,390.790283203125,335.7970275878906,0.9942649006843567,382.18035888671875,334.2988586425781,0.9961456060409546,369.7344665527344,330.0095520019531,0.9942827224731445,358.9842834472656,328.1025390625,0.9984952211380005
114,394.0071105957031,336.3980712890625,0.9918791651725769,383.126953125,333.7696228027344,0.994976818561554,370.2244873046875,330.27691650390625,0.9905723929405212,358.5436096191406,329.36083984375,0.9982307553291321
115,391.0064697265625,337.142333984375,0.9907832145690918,383.24652099609375,334.87249755859375,0.9967963099479675,372.3429870605469,330.6505432128906,0.9957725405693054,359.21807861328125,328.5321044921875,0.9980332255363464
